submission_id,length
S270,140.48275273372778
S271,222.41108099162818
S272,151.09803457987894
S273,190.39080148873094
S274,151.1191010794882
S275,194.2614672402361
S276,215.01618821820102
S277,172.95291840795147
S278,211.64677998093808
S279,180.35658301544487
S280,87.34385480373432
S281,179.67322385725583
S282,140.3895751911532
S283,126.69477798334087
S284,203.4473429966024
S285,128.70924453242083
S286,135.6510659156923
S287,153.78434581091128
S288,217.37568637463997
S289,161.89923368765156
S290,168.51832450646805
S291,151.93371011370067
S292,129.7145317328415
S293,142.32422732198023
S294,173.42175680344593
S295,195.3468015037622
S296,108.36162778757212
S297,215.0919977437454
S298,160.09164967266642
S299,161.92196277083684
