submission_id,assignment,student_alias,lecturer_score,single_agent_score,multi_agent_score
S073,Essay-2,A,69.24918932429227,67.3082733118792,70.42472400862567
S074,Essay-1,A,88.53946547013035,86.75486201151459,85.049415137866
S075,Essay-1,A,69.62536164072031,69.64688550369382,68.96020181790021
S076,Essay-2,D,70.54372863787465,79.64192394667214,72.32314171975968
S077,Essay-1,B,87.65155766504084,92.58971163281286,88.38842399082607
S078,Essay-2,A,81.76937512743147,76.80689166595215,77.3290737353213
S079,Essay-2,D,82.9516738829196,85.66529096147819,89.26155341618868
S080,Essay-1,A,78.9262733206187,80.43624475611277,79.35304067437256
S081,Essay-1,A,83.95693548985801,80.90946674360478,87.8539708248316
S082,Essay-3,B,74.481878198901,81.11388131370246,75.7772900961199
S083,Essay-1,A,72.54215785391646,68.48768696716009,73.7932221569438
S084,Essay-1,A,70.2824848624368,71.7120855089836,67.56789119535736
S085,Essay-3,A,76.71386657849347,82.0535704550267,76.40145983514657
S086,Essay-2,B,74.67344765958175,76.51754182838475,75.15948809268217
S087,Essay-2,C,82.0785654131222,88.48741568023027,82.00902575555492
S088,Essay-1,B,82.6326727265146,79.23911576765266,85.18717219414684
S089,Essay-1,C,77.6213963533945,72.95221009433358,84.50575470836853
S090,Essay-2,A,71.61648925603131,69.99711623570502,71.37234157160316
S091,Essay-3,D,79.01409878504931,75.33006239154592,76.36289774553849
S092,Essay-2,D,72.98391029218864,70.88986397574793,75.3189752832291
S093,Essay-2,C,78.76675423007559,81.91412534762594,78.48182048143211
S094,Essay-1,D,67.10466391508236,59.225297103434336,64.72921247888604
S095,Essay-2,B,89.59028773042122,99.04091407964718,92.17661376855766
S096,Essay-3,D,82.96795410907856,92.8106632884284,85.83999474520049
S097,Essay-2,C,84.53863169917518,75.48527262943378,82.17495408618511
S098,Essay-3,A,91.795595598133,93.11586921188538,89.97551692718851
S099,Essay-1,B,69.95797883618151,58.681541583951876,72.35370123953071
S100,Essay-1,A,87.08077369952515,90.71796845207736,82.88524173115918
S101,Essay-3,B,66.40498951444549,68.65745360999458,66.50655490869913
S102,Essay-2,C,86.3845321854608,84.56991828007627,90.01582946000424
S103,Essay-1,B,72.56670260719103,72.56830603644758,68.26185701518904
S104,Essay-2,B,71.96179299770915,71.54522976761751,70.66095727496864
S105,Essay-3,D,74.37790975888656,76.83465922372164,75.52862996153223
S106,Essay-1,A,69.70666708089716,62.10351955577767,68.6067883498799
S107,Essay-1,B,89.47839041041821,93.27066281665529,88.81015195027048
S108,Essay-3,B,92.58545711022803,92.29474874757578,95.03159588280687
S109,Essay-3,C,68.30945720275089,70.20428753772191,71.58014820054805
S110,Essay-1,C,74.53927729302518,71.52493149407246,73.93589075048592
S111,Essay-2,B,78.6488013888921,85.08942903652927,82.67846063532761
S112,Essay-2,A,87.57852362653139,82.21560974192278,90.1820173912089
S113,Essay-3,A,82.62678554082055,86.53049887417691,78.46530338058824
S114,Essay-3,C,77.50412297142734,74.77959397040895,80.15922776528708
S115,Essay-1,B,71.67121319894916,81.26257534959294,72.21130414259733
S116,Essay-2,A,79.66909863801004,78.02394645522872,80.07239641031005
S117,Essay-2,C,80.06730253617187,86.84262921355604,75.13580410479776
S118,Essay-2,C,84.27994922470226,87.13250700744568,83.36472133415752
S119,Essay-2,D,87.50882548470493,89.02660485027785,88.85068126552953
S120,Essay-3,C,80.79973937288388,82.15615638936991,80.3650629993447
S121,Essay-2,C,66.27812409530014,67.9985002508206,68.31158093409586
S122,Essay-1,D,81.3874456163629,79.422207778793,82.32922683809471
S123,Essay-1,B,81.32122663202723,82.97730022979215,85.86281475302424
S124,Essay-1,D,91.20724528216721,96.15666405592312,93.55489482690436
S125,Essay-2,D,82.82387254125788,76.20344300993185,81.80718321595214
S126,Essay-1,C,74.89825968086942,79.09833832808751,77.82983563888007
S127,Essay-3,B,78.59919576719022,87.27381325720496,81.40636203374764
S128,Essay-3,A,64.46966170440237,72.08314782063384,65.48610648008646
S129,Essay-3,C,76.1560896741396,81.14565965864912,75.40976374853597
S130,Essay-1,A,84.14973396625177,78.40842778202388,84.37802318196546
S131,Essay-3,C,76.4694629500988,75.25797543068623,70.83289373031192
S132,Essay-2,A,93.19624562805532,97.05837577899017,96.25550051473188
S133,Essay-2,C,77.66609704465158,85.9950451561809,73.63160407100456
S134,Essay-3,C,80.61110078330194,83.88388825416831,81.33261285363349
S135,Essay-2,A,98.33839976454693,97.11287363540815,98.42461464619113
S136,Essay-1,B,74.66895008649574,77.28247289031816,75.9026260813601
S137,Essay-1,B,85.91563315374178,83.67429258447417,85.96547574688132
S138,Essay-3,D,77.9325799630247,78.36749833457164,69.40589025238353
S139,Essay-3,B,77.14589060266552,71.45033120666716,85.27887944096919
S140,Essay-1,D,87.30684933212524,93.84366450182573,86.23917317240154
S141,Essay-3,D,85.82089579428208,77.27986189981715,83.47677919421567
S142,Essay-3,A,76.19953644035833,80.43328095879633,77.82415251947434
S143,Essay-2,A,60.82866008797558,57.76204865821277,65.0858151694238
S144,Essay-3,C,74.25314045247886,81.00214135898723,76.06030360741349
S145,Essay-1,A,86.63214465038642,81.8000124641957,86.603319011442
S146,Essay-1,B,73.7134838652694,79.39567595765227,82.53170552148576
S147,Essay-1,A,66.64382385677706,69.86207374682654,63.36656857902516
S148,Essay-3,C,66.4877419914371,60.7302000597669,65.43969023546194
S149,Essay-1,D,70.20434876308697,67.45264183685002,72.91979790356582
